time,voltage
0.0,0.36886735
0.0005,0.24949782
0.001,0.22585507
0.0015,0.27586958
0.002,0.31546973
0.0025,0.25186874
0.003,0.25417997
0.0035,0.16954332
0.004,0.25029022
0.0045,0.22377112
0.005,0.3113211
0.0055,0.39170065
0.006,0.38506535
0.0065,0.34019269
0.007,0.16658193
0.0075,0.07369839
0.008,-0.08766345
0.0085,-0.23268859
0.009,-0.2002188
0.0095,-0.2998876
0.01,-0.33650047
0.0105,-0.48231222
0.011,-0.45449208
0.0115,-0.49308052
0.012,-0.45827037
0.0125,-0.37350657
0.013,-0.33151105
0.0135,-0.15158128
0.014,-0.12226483
0.0145,-0.18324735
0.015,-0.22528554
0.0155,-0.23334138
0.016,-0.29233982
0.0165,-0.2729675
0.017,-0.18640823
0.0175,-0.18095169
0.018,-0.17403757
0.0185,-0.22098759
0.019,-0.1989876
0.0195,-0.05127724
0.02,0.0883882
0.0205,0.25157308
0.021,0.40991776
0.0215,0.48245062
0.022,0.48721635
0.0225,0.43053364
0.023,0.36052664
0.0235,0.35675835
0.024,0.37876977
0.0245,0.25259137
0.025,0.27947088
0.0255,0.2022325
0.026,0.13989734
0.0265,0.09911197
0.027,0.07627744
0.0275,0.07580944
0.028,0.1770284
0.0285,0.26785041
0.029,0.2864639
0.0295,0.26211034
0.03,0.15027283
0.0305,0.08932208
0.031,-0.01351675
0.0315,-0.10175261
0.032,-0.18320834
0.0325,-0.17988802
0.033,-0.3472183
0.0335,-0.41467816
0.034,-0.57492942
0.0345,-0.59418422
0.035,-0.49559573
0.0355,-0.46110831
0.036,-0.27718992
0.0365,-0.11294428
0.037,-0.14253684
0.0375,-0.1239753
0.038,-0.1667665
0.0385,-0.14233785
0.039,-0.12591273
0.0395,-0.1347152
0.04,-0.04612835
0.0405,-0.13245347
0.041,-0.06688565
0.0415,-0.18586711
0.042,-0.22244463
0.0425,-0.05467636
0.043,0.07150203
0.0435,0.26181854
0.044,0.40220444
0.0445,0.4261452
0.045,0.50192891
0.0455,0.55586474
0.046,0.48452411
0.0465,0.46217419
0.047,0.42908589
0.0475,0.46246326
0.048,0.40190938
0.0485,0.28535643
0.049,0.20566012
0.0495,0.04999872
0.05,-0.01095786
0.0505,0.02231185
0.051,0.06050635
0.0515,0.1829037
0.052,0.20416629
0.0525,0.11953151
0.053,0.13250583
0.0535,0.03420874
0.054,0.02709585
0.0545,-0.07710872
0.055,-0.09644897
0.0555,-0.19393002
0.056,-0.26510746
0.0565,-0.46827327
0.057,-0.6327437
0.0575,-0.5964955
0.058,-0.61370423
0.0585,-0.41807609
0.059,-0.41991319
0.0595,-0.30086437
0.06,-0.1763597
0.0605,-0.21616518
0.061,-0.12192159
0.0615,-0.06335771
0.062,-0.03606672
0.0625,-0.01024529
0.063,0.08205878
0.0635,0.00070217
0.064,-0.05906834
0.0645,-0.09371566
0.065,-0.08489791
0.0655,-0.1320163
0.066,0.08051467
0.0665,0.10716467
0.067,0.33984799
0.0675,0.36906332
0.068,0.3968805
0.0685,0.44111489
0.069,0.47622039
0.0695,0.47084864
0.07,0.51753751
0.0705,0.5342596
0.071,0.43312524
0.0715,0.31882614
0.072,0.21692101
0.0725,0.03444224
0.073,-0.05256717
0.0735,-0.08822135
0.074,-0.01792499
0.0745,0.0394608
0.075,0.0476872
0.0755,0.02155051
0.076,-0.01552523
0.0765,-0.05585871
0.077,-0.07309762
0.0775,-0.04751053
0.078,-0.01751706
0.0785,-0.10595985
0.079,-0.20170605
0.0795,-0.34242761
0.08,-0.50647861
0.0805,-0.6411422
0.081,-0.51201993
0.0815,-0.55540937
0.082,-0.42950019
0.0825,-0.34829944
0.083,-0.28416434
0.0835,-0.23633771
0.084,-0.18877534
0.0845,-0.12723841
0.085,0.03853552
0.0855,0.12983382
0.086,0.18939578
0.0865,0.1235191
0.087,0.06231938
0.0875,-0.01050782
0.088,-0.09598557
0.0885,-0.03582669
0.089,0.03719349
0.0895,0.13242396
0.09,0.22825998
0.0905,0.24464303
0.091,0.30400842
0.0915,0.35836201
0.092,0.45047903
0.0925,0.54978479
0.093,0.57378882
0.0935,0.65250525
0.094,0.46733712
0.0945,0.330326
0.095,0.19788911
0.0955,0.03930303
0.096,0.02501218
0.0965,-0.0567535
0.097,-0.06288478
0.0975,-0.08721896
0.098,-0.07406316
0.0985,-0.14786575
0.099,-0.17172029
0.0995,-0.16155047
0.1,-0.18737809
0.1005,-0.04932304
0.101,-0.03321499
0.1015,-0.05870841
0.102,-0.14118424
0.1025,-0.304131
0.103,-0.4298445
0.1035,-0.55456458
0.104,-0.50229004
0.1045,-0.44741716
0.105,-0.41557742
0.1055,-0.4698175
0.106,-0.39627497
0.1065,-0.32576835
0.107,-0.25487053
0.1075,-0.10764373
0.108,9.62e-05
0.1085,0.21909662
0.109,0.25412752
0.1095,0.24025193
0.11,0.17364859
0.1105,0.1359286
0.111,0.12775994
0.1115,0.11564967
0.112,0.10766842
0.1125,0.16143026
0.113,0.22408202
0.1135,0.21676042
0.114,0.17946684
0.1145,0.22537632
0.115,0.32507747
0.1155,0.42946917
0.116,0.52510085
0.1165,0.58198864
0.117,0.55014133
0.1175,0.44392073
0.118,0.31892153
0.1185,0.17360597
0.119,0.08533617
0.1195,-0.02479752
0.12,-0.07006547
0.1205,-0.16285721
0.121,-0.1390671
0.1215,-0.27789752
0.122,-0.30840771
0.1225,-0.36969868
0.123,-0.19139491
0.1235,-0.13936215
0.124,-0.08981076
0.1245,-0.09992111
0.125,-0.12274246
0.1255,-0.18427113
0.126,-0.26997727
0.1265,-0.35142059
0.127,-0.42553219
0.1275,-0.39986913
0.128,-0.32778561
0.1285,-0.42343812
0.129,-0.44007898
0.1295,-0.36604796
0.13,-0.33709835
0.1305,-0.16714608
0.131,0.02243179
0.1315,0.07195609
0.132,0.32723459
0.1325,0.32438656
0.133,0.30717102
0.1335,0.24419916
0.134,0.19976486
0.1345,0.29995452
0.135,0.27977434
0.1355,0.29007968
0.136,0.22972003
0.1365,0.25939794
0.137,0.21830465
0.1375,0.16724515
0.138,0.23201673
0.1385,0.29359376
0.139,0.40045464
0.1395,0.51255308
0.14,0.45619817
0.1405,0.41557901
0.141,0.35830564
0.1415,0.21738996
0.142,0.13000098
0.1425,0.06658294
0.143,0.00904028
